"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang X.; Cui Y.; Ren Y.; Duan G.; Zhang H.","Zhang, Xiaoyue (24337142900); Cui, Yue (59302643200); Ren, Yanchao (59302514000); Duan, Guodong (59302643300); Zhang, Huanrui (57216790205)","24337142900; 59302643200; 59302514000; 59302643300; 57216790205","Loop Detection Method Based on Neural Radiance Field BoW Model for Visual Inertial Navigation of UAVs","2024","Remote Sensing","16","16","3038","","","3","10.3390/rs16163038","https://www.scopus.com/pages/publications/85202444932?origin=resultslist","The loop closure detection (LCD) methods in Unmanned Aerial Vehicle (UAV) Visual Inertial Navigation System (VINS) are often affected by issues such as insufficient image texture information and limited observational perspectives, resulting in constrained UAV positioning accuracy and reduced capability to perform complex tasks. This study proposes a Bag-of-Words (BoW) LCD method based on Neural Radiance Field (NeRF), which estimates camera poses from existing images and achieves rapid scene reconstruction through NeRF. A method is designed to select virtual viewpoints and render images along the flight trajectory using a specific sampling approach to expand the limited observational angles, mitigating the impact of image blur and insufficient texture information at specific viewpoints while enlarging the loop closure candidate frames to improve the accuracy and success rate of LCD. Additionally, a BoW vector construction method that incorporates the importance of similar visual words and an adapted virtual image filtering and comprehensive scoring calculation method are designed to determine loop closures. Applied to VINS-Mono and ORB-SLAM3, and compared with the advanced BoW model LCDs of the two systems, results indicate that the NeRF-based BoW LCD method can detect more than 48% additional accurate loop closures, while the system’s navigation positioning error mean is reduced by over 46%, validating the effectiveness and superiority of the proposed method and demonstrating its significant importance for improving the navigation accuracy of VINS. © 2024 by the authors.","Bag-of-Words; loop closure detection; NeRF; VINS","Aircraft detection; Image analysis; Image enhancement; Image reconstruction; Image sampling; Image texture; Photomapping; Unmanned aerial vehicles (UAV); Aerial vehicle; Bag of words; Bag-of-words models; Detection methods; Inertial navigations; Loop closure; Loop closure detection; Neural radiance field; Texture information; Visual inertial navigation system; Inertial navigation systems","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85202444932"
"Lee E.M.; Myung H.","Lee, Eungchang Mason (57208104735); Myung, Hyun (7004861367)","57208104735; 7004861367","Analysis on the performance of VIO according to Trajectory Planning of UAV","2020","International Conference on Control, Automation and Systems","2020-October","","9268220","967","971","6","10.23919/ICCAS50221.2020.9268220","https://www.scopus.com/pages/publications/85098096462?origin=resultslist","Recently, Unmanned Aerial Vehicles (UAVs) have been widely researched to accomplish tasks such as structural inspection, drone racing, and exploration of an unknown environment. To make the most of UAV and correctly estimate its pose with inexpensive and light-weight sensors such as Inertial Measurement Unit (IMU) and cameras, Visual Inertial Odometry (VIO) has been intensively researched. There were a few analyses on the performance of VIO methods where only estimated pose error and utilization of the computing resources were considered. However, the performance of them according to trajectory planning was not treated. Trajectory planning can be one of the main reasons for the drift of localization from VIO since the sensors acquire the data at their sampling rates. In this paper, we analyze the performance of VIO on various trajectories that have different orders of polynomials for the desired position over time and hence different velocity, acceleration, and the first, second derivative of acceleration, using simulator which reflects the real dynamics of UAV. As a result, the higher the order of polynomial for trajectory, the better performance of VIO can be observed. © 2020 Institute of Control, Robotics, and Systems - ICROS.","Control; Indoor Navigation; Trajectory Planning; Unmanned Aerial Vehicle; Visual Inertial Odometry","Antennas; Trajectories; Computing resource; Desired position; Inertial measurement unit; Sampling rates; Second derivatives; Structural inspections; Trajectory Planning; Unknown environments; Unmanned aerial vehicles (UAV)","Conference paper","Final","","Scopus","2-s2.0-85098096462"
"Liu Q.; Wang Z.; Wang H.","Liu, Quanpan (57211205322); Wang, Zhengjie (8278533000); Wang, Huan (57196431079)","57211205322; 8278533000; 57196431079","Stereo Visual Inertial Odometry for Unmanned Aerial Vehicle Autonomous Flight","2020","Lecture Notes in Electrical Engineering","593","","","550","562","0","10.1007/978-981-32-9686-2_62","https://www.scopus.com/pages/publications/85072973220?origin=resultslist","Visual–inertial SLAM system is very popular in the near decade for the navigation of unmanned aerial vehicle (UAV) system, because it is effective in the environments without the Global Position System (GPS). Due to size and weight constraints, only inexpensive and small sensors can be used. Therefore, there are still challenges in the computational efficiency and robustness of MAV autonomous flight algorithm. We present S-VIO: an optimization-based stereo visual-inertial odometry. Our approach starts with inertial measurement units (IMU) pre-integration, in which IMU measurements is accumulated between several frames using measurement pre-integration. After the initial state estimation converges, a highly precision stereo vision-inertial odometry is obtained by fusing IMU measurements and feature observations. Our approach is validated on the EuRoC MAV datasets. Experimental results prove that our S-VIO has higher accuracy and robustness than the most advanced visual-inertial fusion methods in some challenging situations. © 2020, Springer Nature Singapore Pte Ltd.","IMU pre-integration; Navigation of UAV; SLAM; Stereo camera; Visual-inertial odometry","Air navigation; Antennas; Computational efficiency; Integration; Intelligent systems; Stereo image processing; Unmanned aerial vehicles (UAV); Autonomous flight algorithms; Global position systems; Inertial measurement unit; Odometry; Pre-integration; SLAM; Stereo cameras; Unmanned aerial vehicle systems; Stereo vision","Conference paper","Final","","Scopus","2-s2.0-85072973220"
"Li L.; Wang Y.; Gui X.; Chen J.; Li Z.; Han Y.","Li, Leilei (59801360100); Wang, Yixiang (57686664200); Gui, Xunya (57218506626); Chen, Jiabin (8656235900); Li, Zucheng (57218507047); Han, Yongqiang (55489223900)","59801360100; 57686664200; 57218506626; 8656235900; 57218507047; 55489223900","Visual-inertial positioning method based on priori feature map matching constraints; [基于先验特征地图匹配约束的视觉/惯性定位方法]","2022","Zhongguo Guanxing Jishu Xuebao/Journal of Chinese Inertial Technology","30","1","","44","50","10","10.13695/j.cnki.12-1222/o3.2022.01.007","https://www.scopus.com/pages/publications/85130046367?origin=resultslist","Monocular visual-inertial positioning system is widely used due to its low cost and high autonomy. However, visual-inertial odometry generates large cumulative errors after a long period of operation, which cannot provide accurate pose estimation, and there are feature point tracking failures in the system with complex light and road conditions, which cannot solve the current position with low stability. To address the above problems, a priori feature map matching method based on nonlinear optimization is proposed. The pose graph established by monocular visual-inertial SLAM is used to constrain the residual estimation of the system. By calculating the similarity between the current frame and the historical frames in the feature map, and using the bit-pose of the map for error constraint if the similarity between them is higher than a certain threshold, the cumulative error is eliminated and the stability of the system is improved. The map matching method is verified using data from an UAV flying at an altitude of about 6.4 km for 15 minutes. The experimental results show that the proposed map matching algorithm improves the navigation accuracy (RMSE) by 91% in the case where the time-consuming increase is less than 20% compared with the unused map matching algorithm, and can effectively reduce the cumulative errors of monocular vision-inertial system and improve the stability of the system. © 2022, Editorial Department of Journal of Chinese Inertial Technology. All right reserved.","Loop detection; Map-matching; Pose graph; SLAM","Errors; Gesture recognition; Nonlinear programming; Cumulative errors; Feature map; Loop detection; Map matching; Map-matching algorithm; Map-matching method; Matching constraints; Pose graph; Positioning methods; SLAM; System stability","Article","Final","","Scopus","2-s2.0-85130046367"
"Luo S.; Yang C.; Huang F.; Li S.; Xiang Y.; Tang J.","Luo, Shaowen (60050972300); Yang, Cui (55648274000); Huang, Fuchang (60051257700); Li, Siya (60050833200); Xiang, Youjun (14625770500); Tang, Jie (56331385900)","60050972300; 55648274000; 60051257700; 60050833200; 14625770500; 56331385900","LVIO-GSMAP: Robust LiDAR-Visual-Inertial UAV System With Gaussian Mapping","2025","2025 5th International Conference on Electronics, Circuits and Information Engineering, ECIE 2025","","","","713","717","0","10.1109/ECIE65947.2025.11087050","https://www.scopus.com/pages/publications/105013461742?origin=resultslist","This paper presents a robust SLAM framework that integrates LiDAR-Visual-Inertial Odometry (LVIO) with 3D Gaussian Splatting (3DGS) to address critical challenges in outdoor environments, including photometric degradation, weak textures, and motion blur. Traditional LiDAR-Visual-Inertial Odometry systems struggle under these conditions, while existing 3DGS-based SLAM methods are limited to indoor scenes due to their reliance on dense RGB-D inputs. Our approach introduces two key innovations: First, a state estimation pipeline that transitions entirely to LiDAR-Inertial Odometry (LIO) when photometric reliability drops, leveraging LIVO architecture to achieve millimeter-level accuracy and robustness. Second, an outdoor-capable 3DGS reconstruction system that utilizes geometrically consistent LiDAR point clouds from the LVIO frontend, overcoming the scalability limitations of neural implicit representations in large-scale environments. Our system achieves real-time performance at 25 Hz while maintaining high-fidelity mapping. This work bridges the gap between robust odometry and photorealistic reconstruction for outdoor SLAM, enabling reliable operation in complex, outdoors environments. © 2025 IEEE.","3D Gaussian Splatting; LiDAR-Visual-Inertial Odometry; Multi-Sensor Fusion; Outdoor SLAM","Computer vision; Gaussian distribution; Mapping; SLAM robotics; State estimation; Textures; Vision; 3d gaussian splatting; Gaussians; LiDAR-visual-inertial odometry; Multi-sensor fusion; Odometry; Outdoor environment; Outdoor SLAM; Photometrics; Splatting; UAV systems; Optical radar","Conference paper","Final","","Scopus","2-s2.0-105013461742"
"Kou K.; Qian F.; Liu D.; Wang L.; Zhou S.","Kou, Kunhu (24366286400); Qian, Feng (58478763900); Liu, Dengpan (59231249600); Wang, Liying (55376624200); Zhou, Shaolei (7404166268)","24366286400; 58478763900; 59231249600; 55376624200; 7404166268","Quick Initialization Method of Monocular VIO on MAV","2024","Lecture Notes in Electrical Engineering","1207 LNEE","","","240","252","0","10.1007/978-981-97-3336-1_22","https://www.scopus.com/pages/publications/85199330767?origin=resultslist","The visual inertial odometry can effectively realize the autonomous pose estimation of the MAV, and the key to the robust operation and recovery of the VIO is the initialization process. In order to quickly and accurately provide the necessary initial value for the nonlinear optimization of the visual inertial odometry, this paper proposes a method that makes full use of the on-board sensor of the MAV to initialize the visual inertial odometry. This method uses a two-stage processor. In the MAV flight control system, the IMU deviation and initial attitude estimation are carried out through complementary filtering, and the basic principles of multi-view geometry are comprehensively used in the mission control computer to achieve pure visual SLAM. On this basis, the least squares method is used to realize the alignment of the world coordinate system and the camera coordinate system, and the external rotation parameters of the camera and the IMU are estimated online. The altitude change rate of the on-board altitude sensor of the UAV is used to initialize the camera scale information, so as to provide a comprehensive initial value for the nonlinear solution of the back-end of the visual inertial odometry. Through experimental verification, this method can meet the requirements of the initialization accuracy of the visual inertial odometer, accurately calculate the external parameters of rotation, stably and continuously estimate the posture of the MAV, and then realize the posture control of the MAV. The initialization method proposed in this paper takes about 6.7% less time than the classic method. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.","Complementary Filtering; Initialization; Micro Air Vehicle; Simultaneous Localization and Mapping; Visual Inertial Oodometry","Computer control systems; Flight control systems; Least squares approximations; Micro air vehicle (MAV); Nonlinear programming; Robotics; Complementary filtering; Initialization; Initialization methods; Micro air-vehicles; Non-linear optimization; Odometry; Pose-estimation; Robust operation; Simultaneous localization and mapping; Visual inertial oodometry; Cameras","Conference paper","Final","","Scopus","2-s2.0-85199330767"
"Elmi Tabassum T.; Petrunin I.; Rana Z.A.","Elmi Tabassum, Tarafder (59741906000); Petrunin, Ivan (7003772885); Rana, Zeeshan A. (36599001300)","59741906000; 7003772885; 36599001300","A Comparative Analysis of Hybrid Sensor Fusion Schemes for Visual-Inertial Navigation","2025","IEEE Transactions on Instrumentation and Measurement","74","","8506415","","","3","10.1109/TIM.2025.3555758","https://www.scopus.com/pages/publications/105003088538?origin=resultslist","Visualinertial odometry (VIO) has been extensively studied for navigation in GNSS-denied environments, but its performance can be heavily impacted by the complexity of the navigation environments such as weather conditions, illumination variation, flight dynamics, and environmental structure. Hybrid fusion approaches integrating neural networks (NNs), especially gated recurrent units (GRUs) with the Kalman filters (KFs), such as error-state KF (ESKF) have shown promising results mitigating system nonlinearities due to challenging environmental conditions data issues, there is a lack of systematic studies quantitively analyzing and comparing performance differences unhand. To address this gap and enable robust navigation in complex conditions, this study proposes and systematically analyses the performance of three hybrid fusion schemes for VIO-based navigation of autonomous aerial vehicles (AAVs). These three hybrid VIO schemes include visual odometry (VO) error compensation using NN, KF error compensation using NN, and prediction of Kalman gain using NN. The comparative analysis is performed using data generated in MATLAB incorporating the unreal engine involving diverse challenging environmental conditions: fog, rain, illumination level variability, and variability in the number of features available for extraction during the AAV flight in the urban environment. The results demonstrate the performance improvement achieved by hybrid VIO fusion schemes compared to ESKF-based traditional fusion methods in the presence of multiple visual failure modes. Comparative analysis reveals notable improvement achieved by method 1 with enhancements of 93% in sunny, 91% in foggy, and 90% in rainy conditions than the other two hybrid VIO architectures. © 1963-2012 IEEE.","Error compensation; failure modes; hybrid visual-inertial odometry (VIO); Kalman filter (KF); neural networks (NNs); robustness","Air navigation; Building materials; Electric towers; Global positioning system; Hybrid vehicles; Inertial navigation systems; Kalman filters; Recurrent neural networks; Religious buildings; Sensor data fusion; Solar buildings; Comparative analyzes; Environmental conditions; Error-state; Hybrid fusions; Hybrid visual inertial odometry; Neural-networks; Odometry; Performance; Robustness; State kalman filter; Unmanned aerial vehicles (UAV)","Article","Final","","Scopus","2-s2.0-105003088538"
"Han H.; Wang Z.; Wu D.","Han, Haoyuan (59561177700); Wang, Zijun (59561601000); Wu, Di (57200496100)","59561177700; 59561601000; 57200496100","Monitoring Jackfruit Growth Based on YOLOv8 with Unmanned Aerial Vehicles","2024","Proceedings of 2024 IEEE International Conference on Unmanned Systems, ICUS 2024","","","","1641","1646","0","10.1109/ICUS61736.2024.10839928","https://www.scopus.com/pages/publications/85218070188?origin=resultslist","Jackfruit trees are usually tall, making manual monitoring methods inefficient for jackfruit cultivation. In this paper, we propose utilizing an unmanned aerial vehicle (UAV) equipped with the YOLOv8 algorithm for jackfruit growth monitoring, alongside Visual-Inertial Navigation System Fusion (Vins-Fusion) for positioning and integrated front-end and back-end trajectory optimization techniques. We collect sample data by photographing jackfruit and searching for images on the internet. The data are annotated using LabelImg and then used to train the deep learning model. The trained model is deployed on the UAV, which is equipped with a Jetson module and a depth camera, to achieve aerial detection of jackfruit ripeness and determine if they are rotten, using the YOLOv8 algorithm. Finally, we discuss the experimental results, focusing on training loss, validation loss, precision, recall, and mean average precision (mAP), and flight recognition capability. The results demonstrate that the UAV can efficiently, autonomously, and accurately detect the ripeness of jackfruit and determine whether it is rotten. © 2024 IEEE.","B-spline; deep learning; jackfruit; unmanned aerial vehicle (UAV); Visual-Inertial Navigation System Fusion (Vins-Fusion); YOLOv8","Aerial photography; Aircraft detection; Deep learning; Linear programming; Splines; Unmanned aerial vehicles (UAV); Aerial vehicle; B splines; Deep learning; Inertial navigations; Jackfruit; Manual monitoring; Monitoring methods; Unmanned aerial vehicle; Visual-inertial navigation system fusion; YOLOv8; Inertial navigation systems","Conference paper","Final","","Scopus","2-s2.0-85218070188"
"Du S.; Xu M.; Fang W.; Xiong M.; Liu Q.; Yi P.; Hong Y.","Du, Siyuan (57788845900); Xu, Mengyuan (57200330930); Fang, Wen (57202733340); Xiong, Mingliang (57203242347); Liu, Qingwen (56127740700); Yi, Peng (55585611900); Hong, Yiguang (57218665453)","57788845900; 57200330930; 57202733340; 57203242347; 56127740700; 55585611900; 57218665453","Integrated Resonant Beam and VIO for UAV Position and Attitude Sensing in Air-Ground Vehicular Network","2025","IEEE Transactions on Vehicular Technology","","","","","","0","10.1109/TVT.2025.3628254","https://www.scopus.com/pages/publications/105020945714?origin=resultslist","In air-ground vehicular networks, unmannedaerial vehicles (UAVs) often serve as airborne communication relays or sensing nodes, where accurate position and attitude estimation is critical for ensuring stable beam alignment, reliable link establishment, and precise mission execution. However, in GNSS-denied or infrastructure-free environments, conventional visual-inertial odometry (VIO) systems suffer from cumulative drift over time and distance. To address this challenge, we propose a blueresonant beam sensing (RBS)-aided pose estimation method that leverages spatially separated laser cavities to extract relative positions and attitudes between UAVs. Specifically, we estimate the angle of arrival (AoA) of beam spots through resonant beam (RB) mapping and perform time-of-flight (ToF) ranging to compute relative poses, where pitch and yaw are directly obtained from AoA, and roll is estimated via a nonlinear optimization decoupled from VIO attitudes. Furthermore, we integrate RBS and VIO using a factor graph optimization framework, where sensor fusion is adaptively weighted based on measurement uncertainty and error models. Simulation results demonstrate that our method significantly improves relative attitude estimation in yaw and pitch dimensions, and enhances overall swarm localization accuracy by 22% to 39% with different swarm scales compared to VIO-only methods. Additionally, it outperforms existing VIO-UWB-Visual fusion approaches, achieving an accuracy gain of nearly 10%. © 1967-2012 IEEE.","factor graph optimization; multi-sensor integration; resonant beam sensing; UAV swarm localization","","Article","Article in press","","Scopus","2-s2.0-105020945714"
"Wang F.; Geng J.","Wang, Feng (57853356500); Geng, Jianghui (55956877800)","57853356500; 55956877800","GNSS PPP-RTK tightly coupled with low-cost visual-inertial odometry aiming at urban canyons","2023","Journal of Geodesy","97","7","66","","","30","10.1007/s00190-023-01749-7","https://www.scopus.com/pages/publications/85163956886?origin=resultslist","High-precision positioning is essential for emerging mass-market applications such as autonomous driving, unmanned aerial vehicles and intelligent transportation in complex urban canyons. Without global navigation satellite system (GNSS) reference stations, the real-time kinematic precise point positioning (PPP-RTK) technique is widely used in these fields because of its fast and accurate absolute positioning capability. However, in complex urban canyons, the performance of PPP-RTK deteriorates dramatically due to the satellite signal obstruction and interference. In contrast, inertial navigation system (INS) and visual navigation can provide precise relative pose estimation, but they suffer from serious error accumulation. Therefore, there is a strong complementary advantage between GNSS and INS/Vision navigation and positioning. In this study, a tightly coupled PPP-RTK/INS/Vision integration model is developed, aiming at improving the performance of PPP-RTK in terms of precision and availability to achieve robust positioning in complex urban canyons. Vehicle-borne experiments with different typical urban scenarios were carried out. We found that the positioning precision, availability and the ambiguity fixing rate of PPP-RTK can be significantly improved by tightly coupling with INS and Vision. The positioning precision of tightly coupled micro-electro-mechanical system (MEMS)-based PPP-RTK/INS/Vision is 6 cm, 5 cm and 10 cm in the east, north and up components, respectively, with an ambiguity fixing rate of 83.6% in typical urban environments, which are comparable to the statistics of a tactical-based PPP-RTK/INS tight integration. Even in complex urban canyons, the positioning precision of tightly coupled MEMS-based PPP-RTK/INS/Vision solution can still reach 11 cm, 7 cm and 13 cm in the east, north and up components, respectively, exhibiting improvements of over 90% compared to GNSS-only PPP-RTK. These results indicate that PPP-RTK tightly coupled with low-cost MEMS-IMU and monocular vision can provide high-precision and high-reliability navigation and positioning solutions even in complex urban environments. © 2023, Springer-Verlag GmbH Germany, part of Springer Nature.","PPP-RTK; PPP-RTK/INS/Vision tightly coupled integration; Urban canyons navigation","canyon; GNSS; image analysis; image classification; performance assessment; reliability analysis; satellite data; satellite imagery","Article","Final","","Scopus","2-s2.0-85163956886"
"Wang S.; Liang Y.; Lin J.; Gan Y.; Zhong M.; Yin X.; Peng B.","Wang, Shuai (57201042141); Liang, Yuntao (24822676000); Lin, Jiongxun (60235271600); Gan, Yuxi (59238016500); Zhong, Mengping (60211145000); Yin, Xia (7401674503); Peng, Bao (36830576800)","57201042141; 24822676000; 60235271600; 59238016500; 60211145000; 7401674503; 36830576800","TSFNet: A Two-Stage Fusion Network for Visual–Inertial Odometry","2025","Mathematics","13","23","3842","","","0","10.3390/math13233842","https://www.scopus.com/pages/publications/105024591079?origin=resultslist","In autonomous operations of unmanned aerial vehicles (UAVs), accurate pose estimation is a core prerequisite for achieving autonomous navigation, obstacle avoidance, and task execution. To address the challenge of localization in GNSS-denied environments, Visual–Inertial Odometry (VIO) has emerged as a mainstream solution due to its outstanding performance. However, existing deep learning-based VIO methods exhibit limitations in their multi-modal fusion mechanisms. These methods typically employ simple concatenation or attention mechanisms for feature fusion. Furthermore, enhancements in accuracy are often accompanied by significant computational overhead. This makes it difficult for models to effectively handle complex, dynamic scenes while remaining lightweight. To this end, this paper proposes TSFNet (Two-stage Sequential Fusion Network), an efficient two-stage sequential fusion network. In the first stage, the network employs a lightweight visual backbone and a bidirectional recurrent network in parallel to extract spatial and motion features, respectively. A gated fusion unit is employed to achieve adaptive intra-frame feature fusion, dynamically balancing the contributions of different modalities. In the second stage, the fused features are organized into sequences and fed into a dedicated temporal network to explicitly model inter-frame motion dynamics. This decoupled fusion architecture significantly enhances the model’s representational capacity. Experimental results demonstrate that TSFNet achieves superior performance on both the EuRoC and Zurich Urban MAV datasets. Notably, on the Zurich Urban MAV dataset, it reduces the localization Root Mean Square Error (RMSE) by 62% compared to the baseline model, while simultaneously reducing the number of parameters and computational load by 76.65% and 24.30%, respectively. This research confirms that the decoupled two-stage fusion strategy is an effective approach for realizing high-precision, lightweight VIO systems. © 2025 by the authors.","deep learning; gating mechanism; pose estimation; visual-inertial odometry","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024591079"
"Dai H.; Jing G.; Yang D.; Li Y.; Ren Z.; Yan D.","Dai, Haotian (60619566300); Jing, Guifei (57202984549); Yang, Dongkai (8258613500); Li, Yige (60027518800); Ren, Zongbin (60619458800); Yan, Dayu (57203995070)","60619566300; 57202984549; 8258613500; 60027518800; 60619458800; 57203995070","Distributed Cooperative Localization for Multiuav System in GNSS Constrained Environment","2025","2025 International Ubiquitous Positioning, Indoor Navigation and Location-Based Services Conference, UPINLBS 2025","","","","","","","10.1109/UPINLBS68186.2025.11468423","https://www.scopus.com/pages/publications/105038052649?origin=resultslist","In GNSS-constrained environments, singleUAV localization based on visual-inertial odometry (VIO) or inertial navigation systems (INS) degrades rapidly due to error accumulation. We propose a distributed cooperative localization method for multi-UAV systems. Under a Fisher Information Matrix (FIM)-Extended Kalman Filter (EKF) fusion framework, pairwise constraints among UAVs are formed via networked relative measurements, and a sequential 'measurement scheduling and covariance update' strategy is used to suppress error diffusion. We cast measurement scheduling as a partially observable multi-agent reinforcement learning problem and develop a Multi-Agent Double-Dueling DQN (MAD3QN) policy under centralized training and decentralized execution. Simulation results show that, compared with the MADQNbased strategy, MAD3QN reduces localization uncertainty by 32.24 % on average. The approach provides an efficient, scalable solution for distributed cooperative localization in GNSS-constrained environments. © 2025 IEEE.","Cooperative localization; GNSS constrained environment; Kalman filter; Multi-UAV system; Reinforcement learning","Air navigation; Covariance matrix; Extended Kalman filters; Fisher information matrix; Inertial navigation systems; Intelligent agents; Multi agent systems; Robotics; Unmanned aerial vehicles (UAV); Cooperative localization; GNSS constrained environment; Inertial navigations; Localisation; Measurement scheduling; Multi UAV; Multi-UAV system; Odometry; Reinforcement learnings; UAV systems; Reinforcement learning","Conference paper","Final","","Scopus","2-s2.0-105038052649"
"Karrer M.; Chli M.","Karrer, Marco (57192434503); Chli, Margarita (25654656600)","57192434503; 25654656600","Distributed Variable-Baseline Stereo SLAM from two UAVs","2021","Proceedings - IEEE International Conference on Robotics and Automation","2021-May","","","82","88","24","10.1109/ICRA48506.2021.9560944","https://www.scopus.com/pages/publications/85125484543?origin=resultslist","Visual-Inertial Odometry (VIO) has been widely used and researched to control and aid the automation of navigation of robots especially in the absence of absolute position measurements, such as GPS. However, when the observable landmarks in the scene lie far away, as in high-altitude flights for example, the fidelity of the metric scale estimate in VIO greatly degrades. Aiming to tackle this issue, in this work, we utilize the virtual stereo setup formed by two Unmanned Aerial Vehicles (UAVs), equipped with one camera and one Inertial Measurement Unit (IMU) each, exploiting their view overlap and relative distance measurements between them using onboard Ultra-Wideband (UWB) modules to enable collaborative VIO. In particular, we propose a decentralized collaborative estimation scheme, where each agent holds its own local map, achieving a low pose estimation latency, while ensuring consistency of each agents' estimates via consensus-based optimization. Following a thorough evaluation in photorealistic simulations, we demonstrate the effectiveness of the approach at high-altitude flights of up to 160m, going significantly beyond the capabilities of state-of-the-art VIO methods. Finally, we show the advantage of actively adjusting the baseline on-the-fly over a fixed, target baseline, resulting in a significant reduction of the estimation error. © 2021 IEEE","","Flight simulators; Robots; Ultra-wideband (UWB); Absolute position measurements; Aerial vehicle; Collaborative estimation; Decentralised; Inertial measurements units; Odometry; One camera; Overlap distance; Relative distances; Ultrawide band; Antennas","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85125484543"
"Li T.; Zhang H.; Gao Z.; Niu X.; El-Sheimy N.","Li, Tuan (57194206040); Zhang, Hongping (55358578100); Gao, Zhouzheng (55235759400); Niu, Xiaoji (9241611900); El-Sheimy, Naser (59454510300)","57194206040; 55358578100; 55235759400; 9241611900; 59454510300","Tight fusion of a monocular camera, mems-imu, and single-frequency multi-gnss rtk for precise navigation in gnss-challenged environments","2019","Remote Sensing","11","6","610","","","146","10.3390/rs11060610","https://www.scopus.com/pages/publications/85112529225?origin=resultslist","Precise position, velocity, and attitude is essential for self-driving cars and unmanned aerial vehicles (UAVs). The integration of global navigation satellite system (GNSS) real-time kinematics (RTK) and inertial measurement units (IMUs) is able to provide high-accuracy navigation solutions in open-sky conditions, but the accuracy will be degraded severely in GNSS-challenged environments, especially integrated with the low-cost microelectromechanical system (MEMS) IMUs. In order to navigate in GNSS-denied environments, the visual–inertial system has been widely adopted due to its complementary characteristics, but it suffers from error accumulation. In this contribution, we tightly integrate the raw measurements from the single-frequency multi-GNSS RTK, MEMS-IMU, and monocular camera through the extended Kalman filter (EKF) to enhance the navigation performance in terms of accuracy, continuity, and availability. The visual measurement model from the well-known multistate constraint Kalman filter (MSCKF) is combined with the double-differenced GNSS measurement model to update the integration filter. A field vehicular experiment was carried out in GNSS-challenged environments to evaluate the performance of the proposed algorithm. Results indicate that both multi-GNSS and vision contribute significantly to the centimeter-level positioning availability in GNSS-challenged environments. Meanwhile, the velocity and attitude accuracy can be greatly improved by using the tightly-coupled multi-GNSS RTK/INS/Vision integration, especially for the yaw angle. © 2019 by the authors.","High-precision; Monocular visual-inertial odometry; Multi-GNSS (GPS/BeiDou/GLONASS); RTK/INS integration; State estimation","Antennas; Cameras; Electromechanical devices; Extended Kalman filters; Integration; MEMS; Navigation; Complementary characteristics; Global Navigation Satellite Systems; Inertial measurement unit; Integration filters; Micro  electromechanical system (MEMS); Navigation performance; Navigation solution; Visual measurements; Global positioning system","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85112529225"
"Lazareva P.A.; Malikov A.I.; Degtyarev G.L.; Mannanov R.T.","Lazareva, P.A. (55799753900); Malikov, A.I. (60145879200); Degtyarev, G.L. (7003680344); Mannanov, R.T. (60145879300)","55799753900; 60145879200; 7003680344; 60145879300","Development of an Algorithm for Absolute Visual-Inertial Navigation of Unmanned Aerial Vehicles","2025","Russian Aeronautics","68","2","","449","455","0","10.3103/S1068799825020217","https://www.scopus.com/pages/publications/105019050647?origin=resultslist","Abstract: The paper considers approaches to navigation of unmanned aerial vehicles in the absence of satellite signals using computer vision algorithms. A comparative analysis of absolute navigation methods using the pre-loaded satellite maps is carried out. An algorithm is proposed for the season-invariant visual-inertial navigation based on the image feature matching using the SIFT algorithm with correction based on signals from an inertial measurement unit computationally optimized for the real time use. The results of the algorithm testing using the real unmanned aerial vehicle flight data are presented in comparison with the reference data from a satellite navigation system. © Allerton Press, Inc. 2025.","autonomous navigation; reference satellite map; unmanned aerial vehicle; visual-inertial navigation; visual-inertial odometry","Air navigation; Antennas; Computer vision; Flight testing; Inertial navigation systems; Satellite navigation aids; Satellites; Vision; Visual servoing; Aerial vehicle; Autonomous navigation; Inertial navigations; Odometry; Reference satellite map; Reference satellites; Satellite signals; Unmanned aerial vehicle; Visual-inertial navigation; Visual-inertial odometry; Unmanned aerial vehicles (UAV)","Article","Final","","Scopus","2-s2.0-105019050647"
